,foffset,snr,received
0,0.0,0.0,0.16666666666666666
1,0.0,0.5,2.1666666666666665
2,0.0,1.0,12.5
3,0.0,1.5,30.166666666666668
4,0.0,2.0,48.666666666666664
5,0.0,2.5,68.5
6,0.0,3.0,84.33333333333333
7,0.0,3.5,93.33333333333333
8,0.0,4.0,95.33333333333333
9,0.0,4.5,97.66666666666667
10,0.0,5.0,99.33333333333333
11,0.0,5.5,100.0
12,0.0,6.0,100.0
13,0.0,6.5,100.0
14,0.0,7.0,100.0
15,0.0,7.5,100.0
16,0.0,8.0,100.0
17,0.0,8.5,100.0
18,0.0,9.0,100.0
19,0.0,9.5,100.0
20,0.0,10.0,100.0
21,0.0,10.5,100.0
22,0.0,11.0,100.0
23,0.0,11.5,100.0
24,0.0,12.0,100.0
25,0.0,12.5,100.0
26,0.0,13.0,100.0
27,0.0,13.5,100.0
28,0.0,14.0,100.0
29,0.0,14.5,100.0
30,0.01,0.0,0.0
31,0.01,0.5,2.1666666666666665
32,0.01,1.0,12.333333333333334
33,0.01,1.5,27.833333333333332
34,0.01,2.0,52.0
35,0.01,2.5,71.0
36,0.01,3.0,84.16666666666667
37,0.01,3.5,90.66666666666667
38,0.01,4.0,96.33333333333333
39,0.01,4.5,97.5
40,0.01,5.0,99.16666666666667
41,0.01,5.5,99.83333333333333
42,0.01,6.0,99.83333333333333
43,0.01,6.5,100.0
44,0.01,7.0,100.0
45,0.01,7.5,100.0
46,0.01,8.0,100.0
47,0.01,8.5,100.0
48,0.01,9.0,100.0
49,0.01,9.5,100.0
50,0.01,10.0,100.0
51,0.01,10.5,100.0
52,0.01,11.0,100.0
53,0.01,11.5,100.0
54,0.01,12.0,100.0
55,0.01,12.5,100.0
56,0.01,13.0,100.0
57,0.01,13.5,100.0
58,0.01,14.0,100.0
59,0.01,14.5,100.0
60,0.02,0.0,0.3333333333333333
61,0.02,0.5,2.0
62,0.02,1.0,8.333333333333334
63,0.02,1.5,26.666666666666668
64,0.02,2.0,44.5
65,0.02,2.5,67.16666666666667
66,0.02,3.0,86.0
67,0.02,3.5,93.33333333333333
68,0.02,4.0,97.5
69,0.02,4.5,99.5
70,0.02,5.0,99.66666666666667
71,0.02,5.5,99.83333333333333
72,0.02,6.0,100.0
73,0.02,6.5,100.0
74,0.02,7.0,100.0
75,0.02,7.5,100.0
76,0.02,8.0,100.0
77,0.02,8.5,100.0
78,0.02,9.0,100.0
79,0.02,9.5,100.0
80,0.02,10.0,100.0
81,0.02,10.5,100.0
82,0.02,11.0,100.0
83,0.02,11.5,100.0
84,0.02,12.0,100.0
85,0.02,12.5,100.0
86,0.02,13.0,100.0
87,0.02,13.5,100.0
88,0.02,14.0,100.0
89,0.02,14.5,100.0
90,0.03,0.0,0.0
91,0.03,0.5,2.5
92,0.03,1.0,9.5
93,0.03,1.5,25.666666666666668
94,0.03,2.0,44.833333333333336
95,0.03,2.5,64.5
96,0.03,3.0,78.66666666666667
97,0.03,3.5,88.66666666666667
98,0.03,4.0,94.66666666666667
99,0.03,4.5,96.33333333333333
100,0.03,5.0,99.5
101,0.03,5.5,98.66666666666667
102,0.03,6.0,99.0
103,0.03,6.5,100.0
104,0.03,7.0,100.0
105,0.03,7.5,100.0
106,0.03,8.0,100.0
107,0.03,8.5,100.0
108,0.03,9.0,100.0
109,0.03,9.5,100.0
110,0.03,10.0,100.0
111,0.03,10.5,100.0
112,0.03,11.0,100.0
113,0.03,11.5,100.0
114,0.03,12.0,100.0
115,0.03,12.5,100.0
116,0.03,13.0,100.0
117,0.03,13.5,100.0
118,0.03,14.0,100.0
119,0.03,14.5,100.0
120,0.04,0.0,0.0
121,0.04,0.5,0.0
122,0.04,1.0,0.0
123,0.04,1.5,0.0
124,0.04,2.0,0.0
125,0.04,2.5,0.0
126,0.04,3.0,0.0
127,0.04,3.5,0.0
128,0.04,4.0,0.0
129,0.04,4.5,0.0
130,0.04,5.0,0.0
131,0.04,5.5,0.0
132,0.04,6.0,0.0
133,0.04,6.5,0.0
134,0.04,7.0,0.0
135,0.04,7.5,0.0
136,0.04,8.0,0.0
137,0.04,8.5,0.0
138,0.04,9.0,0.0
139,0.04,9.5,0.0
140,0.04,10.0,0.0
141,0.04,10.5,0.0
142,0.04,11.0,0.0
143,0.04,11.5,0.0
144,0.04,12.0,0.0
145,0.04,12.5,0.0
146,0.04,13.0,0.0
147,0.04,13.5,0.0
148,0.04,14.0,0.0
149,0.04,14.5,0.0
